# 2WD PID 循线 · S 弯赛道 · Kp=0.6 Ki=0 Kd=6 · 100 Hz
t,nL,nM,nR,error,u,pwmL,pwmR,state
13.600,0.3480,0.4960,0.0000,-41.23,13.58,140,120,TURN_LEFT
13.610,0.3000,0.5560,0.0000,-35.05,16.08,144,115,TURN_LEFT
13.620,0.2440,0.6360,0.0120,-26.01,38.62,150,74,TURN_LEFT
13.630,0.2160,0.7040,0.0000,-23.48,1.10,122,142,TURN_LEFT
13.640,0.1760,0.7160,0.0040,-19.20,14.17,141,118,TURN_LEFT
13.650,0.1400,0.8080,0.0080,-13.81,24.05,150,101,TURN_LEFT
13.660,0.1360,0.8280,0.0200,-11.79,5.04,128,135,TURN_LEFT
13.670,0.1200,0.9080,0.0200,-9.54,7.75,132,130,STRAIGHT
13.680,0.0760,0.9400,0.0280,-4.60,26.91,150,96,STRAIGHT
13.690,0.0840,0.9440,0.0200,-6.11,-12.72,101,150,STRAIGHT
13.700,0.0600,1.0000,0.0200,-3.70,12.20,138,122,STRAIGHT
13.710,0.0280,1.0000,0.0360,0.75,27.18,150,95,STRAIGHT
13.720,0.0320,0.9800,0.0440,1.14,2.99,124,139,STRAIGHT
13.730,0.0320,0.9840,0.0520,1.87,5.54,128,134,STRAIGHT
13.740,0.0040,0.9800,0.0480,4.26,16.90,145,114,STRAIGHT
13.750,0.0200,0.9480,0.0640,4.26,2.56,124,139,STRAIGHT
13.760,0.0200,0.9280,0.0840,6.20,15.35,143,116,STRAIGHT
13.770,0.0160,0.9040,0.1280,10.69,33.33,150,84,TURN_RIGHT
13.780,0.0280,0.8720,0.1320,10.08,2.39,124,140,TURN_RIGHT
13.790,0.0080,0.8160,0.1640,15.79,43.75,150,65,TURN_RIGHT
13.800,0.0240,0.7920,0.1720,14.98,4.13,126,137,TURN_RIGHT
13.810,0.0040,0.7480,0.2320,23.17,63.05,150,31,TURN_RIGHT
13.820,0.0000,0.7000,0.2520,26.47,35.68,150,80,TURN_RIGHT
13.830,0.0120,0.6640,0.2800,28.03,26.20,150,97,TURN_RIGHT
13.840,0.0040,0.6120,0.3040,32.61,47.02,150,59,TURN_RIGHT
13.850,0.0000,0.5760,0.3240,36.00,41.95,150,68,TURN_RIGHT
13.860,0.0000,0.5680,0.3480,37.99,34.74,150,81,TURN_RIGHT
13.870,0.0000,0.5560,0.3640,39.57,33.18,150,84,TURN_RIGHT
13.880,0.0000,0.5440,0.3760,40.87,32.35,150,86,TURN_RIGHT
13.890,0.0000,0.5120,0.3880,43.11,39.32,150,73,TURN_RIGHT
13.900,0.0000,0.4960,0.3840,43.64,29.33,150,91,TURN_RIGHT
13.910,0.0040,0.5000,0.3720,42.01,15.44,143,116,TURN_RIGHT
13.920,0.0000,0.4480,0.4200,48.39,67.30,150,23,TURN_RIGHT
13.930,0.0000,0.4600,0.4400,48.89,32.34,150,86,TURN_RIGHT
13.940,0.0000,0.4560,0.4320,48.65,27.75,150,94,TURN_RIGHT
13.950,0.0000,0.4280,0.4360,50.46,41.16,150,70,TURN_RIGHT
13.960,0.0200,0.4480,0.4440,46.49,4.06,126,137,TURN_RIGHT
13.970,0.0080,0.4280,0.4320,48.85,43.45,150,66,TURN_RIGHT
13.980,0.0000,0.4320,0.4520,51.13,44.38,150,64,TURN_RIGHT
13.990,0.0000,0.4240,0.4560,51.82,35.21,150,81,TURN_RIGHT
14.000,0.0040,0.4120,0.4520,51.61,29.74,150,90,TURN_RIGHT
14.010,0.0000,0.4320,0.4400,50.46,23.35,150,102,TURN_RIGHT
14.020,0.0000,0.4320,0.4240,49.53,24.16,150,101,TURN_RIGHT
14.030,0.0000,0.4320,0.4240,49.53,29.72,150,91,TURN_RIGHT
14.040,0.0000,0.4240,0.4280,50.23,34.35,150,82,TURN_RIGHT
14.050,0.0000,0.4440,0.4520,50.45,31.54,150,87,TURN_RIGHT
14.060,0.0160,0.4360,0.4200,46.33,3.10,125,138,TURN_RIGHT
14.070,0.0000,0.4520,0.4040,47.20,33.51,150,84,TURN_RIGHT
14.080,0.0000,0.4560,0.4200,47.95,33.26,150,84,TURN_RIGHT
14.090,0.0080,0.4520,0.4080,46.08,16.48,145,114,TURN_RIGHT
14.100,0.0000,0.4560,0.3800,45.45,23.50,150,102,TURN_RIGHT
14.110,0.0000,0.4680,0.3880,45.33,26.43,150,96,TURN_RIGHT
14.120,0.0080,0.4480,0.3920,45.28,26.91,150,96,TURN_RIGHT
14.130,0.0000,0.4680,0.3880,45.33,27.46,150,95,TURN_RIGHT
14.140,0.0000,0.4720,0.3840,44.86,24.11,150,101,TURN_RIGHT
14.150,0.0000,0.4760,0.4120,46.40,37.06,150,77,TURN_RIGHT
14.160,0.0280,0.4720,0.3760,39.73,-16.19,96,150,TURN_RIGHT
14.170,0.0080,0.4800,0.3880,43.38,47.95,150,58,TURN_RIGHT
14.180,0.0000,0.4640,0.3600,43.69,28.08,150,93,TURN_RIGHT
14.190,0.0000,0.4360,0.3760,46.31,43.48,150,66,TURN_RIGHT
14.200,0.0000,0.4680,0.4120,46.82,31.17,150,88,TURN_RIGHT
14.210,0.0200,0.4760,0.4000,42.41,-1.00,119,146,TURN_RIGHT
14.220,0.0000,0.4480,0.3840,46.15,50.15,150,54,TURN_RIGHT
14.230,0.0000,0.4760,0.4080,46.15,27.69,150,94,TURN_RIGHT
14.240,0.0000,0.4480,0.3880,46.41,29.39,150,91,TURN_RIGHT
14.250,0.0120,0.4720,0.4080,44.39,14.54,142,118,TURN_RIGHT
14.260,0.0080,0.4560,0.4160,46.36,39.63,150,73,TURN_RIGHT
14.270,0.0160,0.4520,0.4200,45.50,22.09,150,104,TURN_RIGHT
14.280,0.0040,0.4600,0.4200,47.06,37.62,150,76,TURN_RIGHT
14.290,0.0000,0.4520,0.4000,46.95,27.51,150,94,TURN_RIGHT
14.300,0.0080,0.4320,0.4040,46.92,27.98,150,94,TURN_RIGHT
14.310,0.0120,0.4360,0.4200,47.00,28.71,150,92,TURN_RIGHT
14.320,0.0000,0.4560,0.4240,48.18,35.97,150,79,TURN_RIGHT
14.330,0.0080,0.4360,0.4160,47.44,24.03,150,101,TURN_RIGHT
14.340,0.0080,0.4560,0.4200,46.61,22.95,150,103,TURN_RIGHT
14.350,0.0000,0.4480,0.4040,47.42,33.32,150,84,TURN_RIGHT
14.360,0.0080,0.4480,0.4240,47.27,27.49,150,95,TURN_RIGHT
14.370,0.0000,0.4360,0.4200,49.07,40.20,150,72,TURN_RIGHT
14.380,0.0000,0.4600,0.4280,48.20,23.72,150,101,TURN_RIGHT
14.390,0.0000,0.4400,0.4440,50.23,42.30,150,68,TURN_RIGHT
14.400,0.0120,0.4480,0.4320,47.09,9.40,134,127,TURN_RIGHT
14.410,0.0000,0.4520,0.4240,48.40,36.94,150,78,TURN_RIGHT
14.420,0.0120,0.4520,0.4520,48.03,26.62,150,96,TURN_RIGHT
14.430,0.0080,0.4520,0.4320,47.53,25.51,150,98,TURN_RIGHT
14.440,0.0200,0.4400,0.4400,46.67,22.80,150,103,TURN_RIGHT
14.450,0.0120,0.4440,0.4360,47.53,33.72,150,83,TURN_RIGHT
14.460,0.0040,0.4520,0.4160,47.25,26.63,150,96,TURN_RIGHT
14.470,0.0040,0.4120,0.4480,51.39,55.68,150,44,TURN_RIGHT
14.480,0.0000,0.4200,0.4520,51.83,33.78,150,83,TURN_RIGHT
14.490,0.0000,0.4280,0.4280,50.00,18.99,148,110,TURN_RIGHT
14.500,0.0000,0.4440,0.4280,49.08,23.94,150,101,TURN_RIGHT
14.510,0.0000,0.4560,0.4360,48.88,28.11,150,93,TURN_RIGHT
14.520,0.0000,0.4480,0.4440,49.78,35.25,150,81,TURN_RIGHT
14.530,0.0000,0.4400,0.4160,48.60,22.09,150,104,TURN_RIGHT
14.540,0.0040,0.4560,0.3960,45.79,10.65,136,125,TURN_RIGHT
14.550,0.0320,0.4640,0.4120,41.85,1.45,122,141,TURN_RIGHT
14.560,0.0280,0.4360,0.4200,44.34,41.57,150,69,TURN_RIGHT
14.570,0.0000,0.4400,0.3960,47.37,46.57,150,60,TURN_RIGHT
14.580,0.0080,0.4480,0.3920,45.28,14.66,142,118,TURN_RIGHT
14.590,0.0040,0.4480,0.4080,46.98,38.35,150,75,TURN_RIGHT
14.600,0.0000,0.4400,0.3840,46.60,25.71,150,98,TURN_RIGHT
14.610,0.0120,0.4600,0.3920,43.98,10.67,136,125,TURN_RIGHT
14.620,0.0000,0.4400,0.3920,47.12,47.07,150,59,TURN_RIGHT
14.630,0.0120,0.4880,0.3800,41.82,-6.69,110,150,TURN_RIGHT
14.640,0.0080,0.4760,0.3800,43.06,33.26,150,84,TURN_RIGHT
14.650,0.0000,0.4760,0.3880,44.91,38.06,150,76,TURN_RIGHT
14.660,0.0160,0.4520,0.3640,41.83,6.61,130,132,TURN_RIGHT
14.670,0.0000,0.4520,0.3720,45.15,47.00,150,59,TURN_RIGHT
14.680,0.0000,0.4640,0.3560,43.41,15.66,143,116,TURN_RIGHT
14.690,0.0080,0.4760,0.3600,41.71,14.77,142,117,TURN_RIGHT
14.700,0.0000,0.4800,0.3560,42.58,30.82,150,89,TURN_RIGHT
14.710,0.0160,0.4840,0.3280,37.68,-6.81,110,150,TURN_RIGHT
14.720,0.0120,0.4840,0.3400,39.23,32.86,150,85,TURN_RIGHT
14.730,0.0000,0.4880,0.3400,41.06,35.61,150,80,TURN_RIGHT
14.740,0.0000,0.5080,0.3280,39.23,12.57,139,121,TURN_RIGHT
14.750,0.0200,0.5080,0.3240,35.68,0.09,120,144,TURN_RIGHT
14.760,0.0000,0.4960,0.3080,38.31,38.75,150,74,TURN_RIGHT
14.770,0.0040,0.5200,0.3040,36.23,9.28,134,127,TURN_RIGHT
14.780,0.0000,0.5200,0.2960,36.27,22.02,150,104,TURN_RIGHT
14.790,0.0000,0.5240,0.2960,36.10,20.60,150,107,TURN_RIGHT
14.800,0.0000,0.5200,0.2920,35.96,20.75,150,107,TURN_RIGHT
14.810,0.0040,0.5400,0.2840,33.82,7.42,131,131,TURN_RIGHT
14.820,0.0040,0.5280,0.3000,35.58,31.91,150,87,TURN_RIGHT
14.830,0.0000,0.5720,0.2680,31.90,-2.89,116,149,TURN_RIGHT
14.840,0.0200,0.5760,0.2800,29.68,4.46,127,136,TURN_RIGHT
14.850,0.0000,0.5520,0.2640,32.35,35.45,150,80,TURN_RIGHT
14.860,0.0000,0.5360,0.2560,32.32,19.22,149,109,TURN_RIGHT
14.870,0.0160,0.5720,0.2520,28.10,-8.51,107,150,TURN_RIGHT
14.880,0.0000,0.5640,0.2520,30.88,35.25,150,81,TURN_RIGHT
14.890,0.0040,0.6080,0.2600,29.36,8.47,133,129,TURN_RIGHT
14.900,0.0000,0.6000,0.2440,28.91,14.66,142,118,TURN_RIGHT
14.910,0.0120,0.6160,0.2400,26.27,-0.10,120,144,TURN_RIGHT
14.920,0.0000,0.6160,0.2120,25.60,11.38,137,124,TURN_RIGHT
14.930,0.0080,0.6000,0.2200,25.60,15.36,143,116,TURN_RIGHT
14.940,0.0000,0.6320,0.2120,25.12,12.16,138,122,TURN_RIGHT
14.950,0.0000,0.6240,0.2120,25.36,16.66,145,114,TURN_RIGHT
14.960,0.0000,0.6240,0.2240,26.42,22.19,150,104,TURN_RIGHT
14.970,0.0040,0.6320,0.2240,25.58,10.35,136,125,TURN_RIGHT
14.980,0.0000,0.6280,0.1880,23.04,-1.43,118,147,TURN_RIGHT
14.990,0.0000,0.6560,0.1960,23.00,13.60,140,120,TURN_RIGHT
15.000,0.0000,0.6560,0.2120,24.42,23.17,150,102,TURN_RIGHT
15.010,0.0000,0.6680,0.1800,21.23,-6.45,110,150,TURN_RIGHT
15.020,0.0080,0.6720,0.2080,22.52,21.29,150,106,TURN_RIGHT
15.030,0.0000,0.6880,0.1840,21.10,4.13,126,137,TURN_RIGHT
15.040,0.0000,0.6720,0.1800,21.13,12.83,139,121,TURN_RIGHT
15.050,0.0160,0.6840,0.1880,19.37,1.08,122,142,TURN_RIGHT
15.060,0.0000,0.6880,0.1720,20.00,15.78,144,116,TURN_RIGHT
15.070,0.0040,0.7040,0.1680,18.72,3.56,125,138,TURN_RIGHT
15.080,0.0000,0.7000,0.1480,17.45,2.86,124,139,TURN_RIGHT
15.090,0.0040,0.6880,0.1480,17.14,8.43,133,129,TURN_RIGHT
15.100,0.0120,0.6960,0.1720,18.18,17.14,146,113,TURN_RIGHT
15.110,0.0040,0.7000,0.1640,18.43,12.57,139,121,TURN_RIGHT
15.120,0.0000,0.7040,0.1760,20.00,21.40,150,105,TURN_RIGHT
15.130,0.0080,0.7120,0.1520,16.51,-11.01,103,150,TURN_RIGHT
15.140,0.0160,0.7360,0.1480,14.67,-2.28,117,148,TURN_RIGHT
15.150,0.0000,0.7160,0.1720,19.37,39.84,150,72,TURN_RIGHT
15.160,0.0080,0.7440,0.1560,16.30,-8.64,107,150,TURN_RIGHT
15.170,0.0040,0.7040,0.1640,18.35,23.30,150,102,TURN_RIGHT
15.180,0.0120,0.7600,0.1440,14.41,-14.98,98,150,TURN_RIGHT
15.190,0.0240,0.7240,0.1600,14.98,12.39,139,122,TURN_RIGHT
15.200,0.0080,0.7400,0.1560,16.37,18.19,147,111,TURN_RIGHT
15.210,0.0000,0.7360,0.1240,14.42,-3.07,115,150,TURN_RIGHT
15.220,0.0040,0.7800,0.1360,14.35,8.18,132,129,TURN_RIGHT
15.230,0.0040,0.7360,0.1400,15.45,15.91,144,115,TURN_RIGHT
15.240,0.0000,0.7720,0.1360,14.98,6.13,129,133,TURN_RIGHT
15.250,0.0000,0.7480,0.1360,15.38,11.67,138,123,TURN_RIGHT
15.260,0.0080,0.7920,0.1280,12.93,-6.96,110,150,TURN_RIGHT
15.270,0.0080,0.7440,0.1320,14.03,14.99,142,117,TURN_RIGHT
15.280,0.0120,0.8080,0.1240,11.86,-5.86,111,150,TURN_RIGHT
15.290,0.0000,0.7880,0.1080,12.05,8.37,133,129,TURN_RIGHT
15.300,0.0080,0.8080,0.1360,13.45,16.42,145,114,TURN_RIGHT
15.310,0.0120,0.7920,0.1040,10.13,-13.80,99,150,TURN_RIGHT
15.320,0.0000,0.8320,0.1120,11.86,17.51,146,112,TURN_RIGHT
15.330,0.0160,0.7680,0.1200,11.50,4.74,127,135,TURN_RIGHT
15.340,0.0000,0.8240,0.1120,11.97,9.95,135,126,TURN_RIGHT
15.350,0.0200,0.7880,0.0880,7.59,-21.71,87,150,STRAIGHT
15.360,0.0200,0.8200,0.1120,9.66,18.25,147,111,STRAIGHT
15.370,0.0160,0.8120,0.0960,8.66,-0.84,119,146,STRAIGHT
15.380,0.0080,0.8200,0.1120,11.06,21.07,150,106,TURN_RIGHT
15.390,0.0120,0.8160,0.1120,10.64,3.83,126,137,TURN_RIGHT
15.400,0.0160,0.8360,0.1160,10.33,4.35,127,136,TURN_RIGHT
15.410,0.0160,0.8160,0.0920,8.23,-7.70,108,150,STRAIGHT
15.420,0.0000,0.8400,0.1040,11.02,23.36,150,102,TURN_RIGHT
15.430,0.0160,0.8480,0.0800,6.78,-21.36,88,150,STRAIGHT
15.440,0.0160,0.8360,0.1000,8.82,17.56,146,112,STRAIGHT
15.450,0.0000,0.8400,0.0840,9.09,7.06,131,131,STRAIGHT
15.460,0.0040,0.8600,0.1040,10.33,13.64,140,119,TURN_RIGHT
15.470,0.0000,0.8560,0.0800,8.55,-5.57,112,150,STRAIGHT
15.480,0.0120,0.8600,0.0960,8.68,5.99,129,133,STRAIGHT
15.490,0.0080,0.8520,0.0760,7.26,-4.12,114,150,STRAIGHT
15.500,0.0200,0.8720,0.1080,8.80,14.49,142,118,STRAIGHT
15.510,0.0240,0.8680,0.0920,6.91,-7.19,109,150,STRAIGHT
15.520,0.0160,0.8680,0.1200,10.36,26.90,150,96,TURN_RIGHT
15.530,0.0000,0.8680,0.0840,8.82,-3.92,114,150,STRAIGHT
15.540,0.0160,0.8440,0.0760,6.41,-10.63,104,150,STRAIGHT
15.550,0.0160,0.8720,0.0720,5.83,0.04,120,144,STRAIGHT
15.560,0.0000,0.8280,0.0880,9.61,28.41,150,93,STRAIGHT
15.570,0.0160,0.9040,0.0800,6.40,-15.40,97,150,STRAIGHT
15.580,0.0280,0.8600,0.0840,5.76,-0.38,119,145,STRAIGHT
15.590,0.0000,0.8920,0.0920,9.35,27.14,150,95,STRAIGHT
15.600,0.0040,0.8440,0.0720,7.39,-7.31,109,150,STRAIGHT
15.610,0.0240,0.8680,0.0960,7.29,3.75,126,137,STRAIGHT
15.620,0.0000,0.8640,0.0680,7.30,4.43,127,136,STRAIGHT
15.630,0.0280,0.8880,0.0760,4.84,-11.84,102,150,STRAIGHT
15.640,0.0000,0.9120,0.0640,6.56,14.25,141,118,STRAIGHT
15.650,0.0000,0.8920,0.0800,8.23,14.98,142,117,STRAIGHT
15.660,0.0080,0.9040,0.0560,4.96,-16.66,95,150,STRAIGHT
15.670,0.0400,0.8840,0.0880,4.74,1.55,122,141,STRAIGHT
15.680,0.0240,0.9240,0.0800,5.45,7.49,131,131,STRAIGHT
15.690,0.0000,0.8640,0.0920,9.62,30.83,150,89,STRAIGHT
15.700,0.0240,0.9200,0.0640,3.97,-31.55,73,150,STRAIGHT
15.710,0.0320,0.8800,0.0720,4.07,3.02,125,139,STRAIGHT
15.720,0.0200,0.8960,0.0600,4.10,2.66,124,139,STRAIGHT
15.730,0.0000,0.8880,0.0880,9.02,34.92,150,81,STRAIGHT
15.740,0.0040,0.9200,0.0720,6.83,-9.04,106,150,STRAIGHT
15.750,0.0040,0.9000,0.0680,6.58,2.49,124,140,STRAIGHT
15.760,0.0080,0.8960,0.0880,8.06,13.72,141,119,STRAIGHT
15.770,0.0160,0.9200,0.1040,8.46,7.46,131,131,STRAIGHT
15.780,0.0120,0.9400,0.0720,5.86,-12.10,102,150,STRAIGHT
15.790,0.0000,0.9400,0.0520,5.24,-0.56,119,145,STRAIGHT
15.800,0.0040,0.9160,0.0640,6.10,8.79,133,128,STRAIGHT
15.810,0.0080,0.9280,0.0560,4.84,-4.65,113,150,STRAIGHT
15.820,0.0120,0.9040,0.0400,2.93,-9.70,105,150,STRAIGHT
15.830,0.0240,0.9520,0.0640,3.85,7.81,132,130,STRAIGHT
15.840,0.0000,0.9160,0.0600,6.15,17.50,146,113,STRAIGHT
15.850,0.0040,0.9360,0.0560,5.22,-2.43,116,148,STRAIGHT
15.860,0.0000,0.9280,0.0600,6.07,8.76,133,128,STRAIGHT
15.870,0.0000,0.9240,0.0640,6.48,6.32,129,133,STRAIGHT
15.880,0.0000,0.9520,0.0520,5.18,-4.68,113,150,STRAIGHT
15.890,0.0160,0.9400,0.0520,3.57,-7.50,109,150,STRAIGHT
15.900,0.0040,0.9240,0.0560,5.28,13.45,140,120,STRAIGHT
15.910,0.0000,0.9360,0.0440,4.49,-2.07,117,148,STRAIGHT
15.920,0.0240,0.9400,0.0480,2.37,-11.29,103,150,STRAIGHT
15.930,0.0080,0.9560,0.0760,6.54,28.92,150,92,STRAIGHT
15.940,0.0320,0.9520,0.0560,2.31,-24.00,84,150,STRAIGHT
15.950,0.0320,0.9080,0.0480,1.62,-3.16,115,150,STRAIGHT
15.960,0.0000,0.9680,0.0360,3.59,13.95,141,119,STRAIGHT
15.970,0.0200,0.9200,0.0640,4.38,7.41,131,131,STRAIGHT
15.980,0.0240,0.9640,0.0680,4.17,1.21,122,142,STRAIGHT
15.990,0.0280,0.9320,0.0560,2.76,-6.81,110,150,STRAIGHT
16.000,0.0240,0.9280,0.0520,2.79,1.87,123,141,STRAIGHT
16.010,0.0040,0.9400,0.0600,5.58,20.08,150,108,STRAIGHT
16.020,0.0240,0.9680,0.0520,2.68,-15.76,96,150,STRAIGHT
16.030,0.0160,0.9360,0.0560,3.97,10.10,135,126,STRAIGHT
16.040,0.0320,0.9640,0.0320,0.00,-23.81,84,150,STRAIGHT
16.050,0.0200,0.9640,0.0440,2.33,15.41,143,116,STRAIGHT
16.060,0.0040,0.9440,0.0440,4.03,12.61,139,121,STRAIGHT
16.070,0.0240,0.9760,0.0360,1.16,-16.55,95,150,STRAIGHT
16.080,0.0120,0.9560,0.0560,4.30,21.41,150,105,STRAIGHT
16.090,0.0040,0.9600,0.0320,2.81,-7.23,109,150,STRAIGHT
16.100,0.0120,0.9480,0.0320,2.02,-3.56,115,150,STRAIGHT
16.110,0.0240,0.9840,0.0320,0.77,-7.02,109,150,STRAIGHT
16.120,0.0040,0.9280,0.0280,2.50,11.88,138,123,STRAIGHT
16.130,0.0000,0.9840,0.0640,6.11,25.31,150,98,STRAIGHT
16.140,0.0200,0.9440,0.0480,2.77,-18.38,92,150,STRAIGHT
16.150,0.0000,0.9720,0.0520,5.08,16.91,145,114,STRAIGHT
16.160,0.0080,0.9360,0.0360,2.86,-11.61,103,150,STRAIGHT
16.170,0.0200,1.0000,0.0280,0.76,-12.10,102,150,STRAIGHT
16.180,0.0120,0.9680,0.0440,3.13,16.04,144,115,STRAIGHT
16.190,0.0280,1.0000,0.0240,-0.38,-21.26,88,150,STRAIGHT
16.200,0.0320,0.9840,0.0360,0.38,4.79,127,135,STRAIGHT
16.210,0.0240,0.9760,0.0400,1.54,7.87,132,130,STRAIGHT
16.220,0.0320,0.9680,0.0400,0.77,-4.15,114,150,STRAIGHT
16.230,0.0280,1.0000,0.0240,-0.38,-7.12,109,150,STRAIGHT
16.240,0.0240,0.9680,0.0280,0.39,4.87,127,135,STRAIGHT
16.250,0.0360,1.0000,0.0480,1.11,4.95,127,135,STRAIGHT
16.260,0.0200,0.9920,0.0000,-1.98,-19.69,90,150,STRAIGHT
16.270,0.0040,0.9960,0.0080,0.40,14.48,142,118,STRAIGHT
16.280,0.0480,0.9920,0.0160,-3.03,-22.38,86,150,STRAIGHT
16.290,0.0200,0.9920,0.0000,-1.98,5.14,128,135,STRAIGHT
16.300,0.0400,0.9840,0.0360,-0.38,9.37,134,127,STRAIGHT
16.310,0.0280,0.9800,0.0000,-2.78,-16.07,96,150,STRAIGHT
16.320,0.0320,0.9960,0.0240,-0.76,11.65,137,123,STRAIGHT
16.330,0.0400,0.9560,0.0200,-1.97,-8.43,107,150,STRAIGHT
16.340,0.0400,1.0000,0.0320,-0.75,6.89,130,132,STRAIGHT
16.350,0.0360,0.9840,0.0120,-2.33,-10.87,104,150,STRAIGHT
16.360,0.0520,0.9760,0.0240,-2.66,-3.61,115,150,STRAIGHT
16.370,0.0360,0.9560,0.0400,0.39,18.53,148,111,STRAIGHT
16.380,0.0440,0.9760,0.0000,-4.31,-30.80,74,150,STRAIGHT
16.390,0.0520,0.9520,0.0160,-3.53,2.59,124,139,STRAIGHT
16.400,0.0320,0.9640,0.0080,-2.39,5.40,128,134,STRAIGHT
16.410,0.0600,0.9640,0.0120,-4.63,-16.24,96,150,STRAIGHT
16.420,0.0480,0.9680,0.0200,-2.70,9.96,135,126,STRAIGHT
16.430,0.0440,0.9680,0.0160,-2.72,-1.76,117,147,STRAIGHT
16.440,0.0440,0.9640,0.0080,-3.54,-7.04,109,150,STRAIGHT
16.450,0.0480,0.9760,0.0000,-4.69,-9.68,105,150,STRAIGHT
16.460,0.0280,0.9720,0.0320,0.39,30.68,150,89,STRAIGHT
16.470,0.0760,0.9320,0.0000,-7.54,-52.09,42,150,STRAIGHT
16.480,0.0480,0.9440,0.0080,-4.00,18.84,148,110,STRAIGHT
16.490,0.0560,0.9240,0.0200,-3.60,0.24,120,144,STRAIGHT
16.500,0.0640,0.9400,0.0000,-6.37,-20.47,89,150,STRAIGHT
16.510,0.0720,0.9320,0.0120,-5.91,-0.73,119,145,STRAIGHT
16.520,0.0720,0.9240,0.0120,-5.95,-3.85,114,150,STRAIGHT
16.530,0.0720,0.9000,0.0160,-5.67,-1.69,117,147,STRAIGHT
16.540,0.0920,0.9040,0.0040,-8.80,-24.07,84,150,STRAIGHT
16.550,0.0720,0.9120,0.0000,-7.32,4.51,127,136,STRAIGHT
16.560,0.0760,0.9080,0.0040,-7.29,-4.19,114,150,STRAIGHT
16.570,0.0960,0.9240,0.0000,-9.41,-18.39,92,150,STRAIGHT
16.580,0.0880,0.8920,0.0000,-8.98,-2.79,116,149,STRAIGHT
16.590,0.1040,0.8640,0.0200,-8.50,-2.24,117,148,STRAIGHT
16.600,0.0960,0.8560,0.0080,-9.17,-9.49,106,150,STRAIGHT
16.610,0.0880,0.8960,0.0000,-8.94,-4.02,114,150,STRAIGHT
16.620,0.0880,0.8360,0.0000,-9.52,-9.20,106,150,STRAIGHT
16.630,0.0880,0.8720,0.0200,-6.94,11.35,137,124,STRAIGHT
16.640,0.1080,0.8600,0.0320,-7.60,-8.53,107,150,STRAIGHT
16.650,0.1040,0.8640,0.0000,-10.74,-25.31,82,150,TURN_LEFT
16.660,0.1120,0.8480,0.0000,-11.67,-12.54,101,150,TURN_LEFT
16.670,0.1120,0.8560,0.0000,-11.57,-6.36,110,150,TURN_LEFT
16.680,0.0960,0.8440,0.0160,-8.37,14.19,141,118,STRAIGHT
16.690,0.1000,0.8280,0.0000,-10.78,-20.91,89,150,TURN_LEFT
16.700,0.1160,0.7920,0.0120,-11.30,-9.95,105,150,TURN_LEFT
16.710,0.1120,0.7920,0.0200,-9.96,2.11,123,140,STRAIGHT
16.720,0.1160,0.8120,0.0200,-10.13,-7.10,109,150,TURN_LEFT
16.730,0.1040,0.8000,0.0040,-11.01,-11.93,102,150,TURN_LEFT
16.740,0.1360,0.7800,0.0200,-12.39,-15.72,96,150,TURN_LEFT
16.750,0.1320,0.7960,0.0000,-14.22,-19.52,91,150,TURN_LEFT
16.760,0.1240,0.7840,0.0280,-10.26,17.65,146,112,TURN_LEFT
16.770,0.1400,0.7640,0.0120,-13.97,-30.69,74,150,TURN_LEFT
16.780,0.1520,0.7320,0.0000,-17.19,-29.64,76,150,TURN_LEFT
16.790,0.1640,0.7680,0.0200,-15.13,3.34,125,138,TURN_LEFT
16.800,0.1640,0.7280,0.0000,-18.39,-30.59,74,150,TURN_LEFT
16.810,0.1400,0.7440,0.0000,-15.84,5.79,129,134,TURN_LEFT
16.820,0.1600,0.7400,0.0000,-17.78,-22.31,87,150,TURN_LEFT
16.830,0.1720,0.7400,0.0080,-17.83,-10.99,104,150,TURN_LEFT
16.840,0.1800,0.7160,0.0000,-20.09,-25.63,82,150,TURN_LEFT
16.850,0.2000,0.7200,0.0240,-18.64,-2.52,116,149,TURN_LEFT
16.860,0.1840,0.6960,0.0040,-20.36,-22.52,86,150,TURN_LEFT
16.870,0.2040,0.6840,0.0000,-22.97,-29.45,76,150,TURN_LEFT
16.880,0.1960,0.6960,0.0120,-20.35,3.50,125,138,TURN_LEFT
16.890,0.1920,0.6600,0.0000,-22.54,-26.61,80,150,TURN_LEFT
16.900,0.1840,0.6600,0.0120,-20.09,2.59,124,139,TURN_LEFT
16.910,0.2240,0.6760,0.0000,-24.89,-43.71,54,150,TURN_LEFT
16.920,0.1840,0.6680,0.0120,-19.91,17.94,147,112,TURN_LEFT
16.930,0.2360,0.6560,0.0000,-26.46,-55.17,37,150,TURN_LEFT
16.940,0.2160,0.6400,0.0000,-25.23,-7.80,108,150,TURN_LEFT
16.950,0.2440,0.6360,0.0080,-26.58,-24.00,84,150,TURN_LEFT
16.960,0.2160,0.6600,0.0040,-24.09,0.46,121,143,TURN_LEFT
16.970,0.2520,0.6400,0.0000,-28.25,-41.91,57,150,TURN_LEFT
16.980,0.2440,0.6120,0.0120,-26.73,-6.90,110,150,TURN_LEFT
16.990,0.2400,0.6320,0.0000,-27.52,-21.28,88,150,TURN_LEFT
17.000,0.2320,0.6160,0.0080,-26.17,-7.57,109,150,TURN_LEFT
17.010,0.2440,0.6120,0.0040,-27.91,-27.18,79,150,TURN_LEFT
